content,content_ing
"aplikasinya bagus, kasih ranking 1 buat toped, ditambah kurirnya selalu pake jne super super lemot, lentidakap deh parahnya update 28-04-2024 2paket resi ekspedisi berbeda nyampenya lama banget, dah gitu resi stuck ga bergerak sama sekali.. toko sebelah pesen belakangan malah sedang diantar kurir. tokped koq makin bagus aja semakin kesini.","The application is good, give Ranking 1 for Toped, plus the courier always uses super super slow JNE, it is not worse updated 28-04-2024 2 Paket the expedition receipt is very long, it's really a stuck resi at all ... the shop next to order later.is being delivered by a courier.Tokped, the better the better here."
"suka sering belanja tokopedia, minusnya tokopedia bekerja sama exp lemot contohnya ""sapx"" exp sangat rekomendasikan merugikan sebagai cs tokopedia ""barang diterima"" padahal belom menerima paketnya kalau masalah cod masalah barang sampai, untuk masalah noncod sebagai costumer merasa rugikan karna dana sudah di transfer kita menerima paketnya","Like Shopping for Tokopedia, Minus Tokopedia works with EXP slow, for example ""Sapx"" exp, highly recommended detrimental as a cs tokopedia ""item received"" even though it hasn't received the package if the problem of cod issues of the goods reaches, for the noncod problem as a customer feels disadvantaged because the funds have been transferred to usreceive the package"
sebenarnya seneng gw belanja tokped ekspedisi rekomendasi kurang baik. masalah sama sebebelumnya saya selesaikan sendiri datang langsung pihak ekspedisinya. kalau di tambah ekspedisi untuk rekomendasi pihak tokopedia,Actually I am happy to shop for a recommendation expedition to be not good.The same problem before I solve it myself come directly to the expedition.if added to the expedition for the recommendation of the Tokopedia
"sebebelum nya transaksi lancar, baru kali kendala paket hilang, udah mengajukan barang hilang proses nya berbulan bulan bebelum ada pengambilan dana refund, gak besar nominal agak kecewa penanganan nya lambat, terkesan mengabaikan pembeli 😓","After all the transactions are smooth, just the constraints of the package are lost, already submitting the item missing the process for months there is a collection of refund funds, not large nominal is somewhat disappointed in handling slowly, seem to ignore buyers 😓"
"di-update appnya, malah hasil search barang dicari makin ngaco gak sesuai, sering ditampilkan hasil barang-barang disponsori toko berlencan dll, makin mempersulit carinya. jelek.","Updated the app, instead the results of the search for items sought more and more incompatible, often displayed the results of sponsored goods are dating, etc., the more difficult to find it.Bad."
"kok sekarang app tokopedia makin jelas ya? kok jd diem gini pas mau ngelacak barang pesan. biasanya lho... biasanya klo gw pesen brg dr tokopedia, selalu update kok status barang gw pesan. kok sekarang berubah2 status pengiriman brg nya ya? knp pihak tokopedia cmn diam doang ya? padahal luar sana banyak org butuh bantuan dr tokopedia sendiri, mohon ditindaklanjuti supaya kita merasa aman kita berbelanja tokopedia ini. sekian, makasi..","How come the Tokopedia app is clearer now?How come you're quiet like this when I want to track items ordered.Usually you know ... usually if I order from Tokopedia, always update the status of the item, I order.how come now change the delivery status?why is the tokopedia cmn is still silent huh?Even though there are many people who need help from Tokopedia himself, please follow up so that we feel safe we shop this tokopedia.That's all, thanks .."
"selalu belanja tokopedia tapii semenjak rekomendasi expedisi jadi lama banget biasanya sampe pling 2 skrang bsa 1-2 minggu sangat kecewa berat mnding hapus aja expedisi lelet kalau begini terus mnding pindah aplikasi lain, sekarang tokopedia sangat rekomended.","Always shopping for Tokopedia but since the expedition recommendations have been so long, usually until Pling 2 now can be 1-2 weeks very disappointed, just delete the slow expedition at this way and then it continues to move other applications, now Tokopedia is very recommended."
"maaf harus kasih bintang 1. tokopedia makin kacau. kena tipu penjual , minta bantuan tokopedia d suruh sabar sabar trus.. dulu live chat , skarenag bales robot . balesan berjam jam . resi palsu sesuai, padahal resi otomatis . kok pihak tokopedia kebobolan sistemnya ? . padahal resi otomatis berubah nama + lokasi penerima beda dr pembeli","Sorry, you have to love the star 1. Tokopedia is even more chaotic.Ticked by the seller, asking for help to Tokopedia and told to be patient and then live chat, skarenag ball robot.Hall hours.Fake receipts are appropriate, even though the receipt is automatic.How come Tokopedia conceded the system?.even though the automatic receipt changes the name + the location of the recipient is different from the buyer"
"menyedihkan, customer belanja online dimudahkan. belanja salah satu olshop tokopedia, toko salah mengirimkan barang. percuma ajukan complaint, urusan pengembalian ribet, ekspedisi ga mau ambil rumah, toko ga mau kirim barang dipesan diawal, customer disuruh ngantar barang salah satu ekspedisi. kebijakan apaan tuh, ngasih jera customer buat belanja pake tokopedia, bukannya ngasih efek jera toko pihak lalai. wth!!!","Sad, online shopping customers are facilitated.Shopping for one of the Olshop Tokopedia, the Salah Shop sent goods.It's useless to submit complaints, complicated returns, expeditions do not want to take a house, the shop does not want to send goods ordered at the beginning, the customer is told to take the goods one of the expeditions.What is the policy, giving a deterrent customer to shop using Tokopedia, instead of giving the deterrent effect of negligent shops.WTH !!!"
"padahal udah lama pake tokped lebih simple mudah, kemarin masa pengiriman barang tetiba notif ""penyesuaian"" estimasi kiriman jadi lebih lama. baru kali kecewa pake tokped harusnya barang sdh diterima mundur semingguan. sdh komplain blm jawaban masuk akal. akhirnya ke toko online sebelah. uninstall","Even though it's been a long time using tokped to be more simple, yesterday the delivery period of the goods but the notif ""adjustment"" estimation of the shipment was longer.just disappointed to use the tokped should have been received back a week.already complained yet the answer makes sense.Finally to the online store next door.Uninstall"
"ada fitur ""kurir rekomendasi"" tokopedia menjadi aplikasi e-commerce paling jauhi. fungsi fitur hanya memperlambat proses pengiriman, biasanya kalau pake sicepat 2 hari nyampe, bisa 2x lipat lebih lama. udah hapus aja fitur itu, gak","There is a feature of Tokopedia's ""Recommendation Courier"" feature to be the most far e-commerce application.The feature function only slows down the shipping process, usually if you use Sicepat for 2 days, it can be 2x longer.just deleted that feature, no"
kurang suka updatenya. kok menu sortirnya makin dikit ya. kayak buat kurir kan di pencarian same day toko mana aja. sekarang ngak ada. jadi kurang efisien.,don't like the update.How come the sorting menu is getting a little bit.Like for couriers in the search for Same Day any shop.now there isn't.So it is less efficient.
"baca komen pengguna rata rata bermasalah kecewa berat ekspedisi pengiriman, pikir cuma bermasalah kecewa ekspedisi pengiriman ada tokopedia ternyata banyak yang kecewa,. kalau dibiarkan masalah berlanjut pengguna tokopedia lambat laun bakal merosot drastis lari aplikasi biru orange kya nya..😂😂😂😂😂😂...","Read the average user's comment that has a problem with disappointment, the weight of the shipping expedition, thought it was only a problem with disappointed shipping expedition, there were many people who were disappointed.if left unchecked the problem continues Tokopedia users will gradually decline drastically running the blue orange application ... 😂😂😂😂😂😂 ..."
"baru2 ini, gagal belanja via tokopedia, lalu pembayaran refund saldo refund. saldo refund digunakan utk bayar toko lain, ditanya pin verifikasi (hanya pilihan pin tokopedia, ada pilihan pin dikirim via sms). punya pin tokopedia, aplikasi tokopedia hapus install ulang. ternyata data saldo refund muncul termasuk beberapa data belanja terakhir sebebelumnya pernah tercatat tidak bisa menggunakan saldo refund saya yang hilang","Recently, failed to shop via Tokopedia, then the Refund Balance Refund payment.Refund balances are used to pay for other stores, asked the verification pin (only the Tokopedia PIN option, there is a PIN option sent via SMS).Have a Tokopedia Pin, Tokopedia application delete reinstalling.it turns out that the refund balance data appears including some of the last shopping data before it has been recorded not able to use my missing refund balance"
"jadi pelanggan tokopedia belumayan lama, sekarang ingin menyampaikan keluhan di akhir² serta lihat ulasan orang ternyata banyak sama yang alami, untuk kurir rekomendasi kok malah jadi tambah ribet tambah menyebalkan paket satu daerah pun datangnya lama banget kaya paket luar daerah saja, perasaan dulu mah tokopedia tuh ngga ini buat apa gratis ontidakir dapat kurir lama pengiriman jadinya bikin kesal","So Tokopedia customers have not been long, now they want to submit complaints in the past and see people's reviews, it turns out that there are many natural ones, for the recommendation courier, how come it is even more complicated, more and more annoying, the one -regional package is very long like a package outside the region, the feeling of the Tokopedia isNOT THIS IS FOR WHAT IS FREE ONTNONDAKIR CAN COURNE OLD DELIVERY MAKE GOOF"
"semenjak pakai sistem kurir rekomendasi paket jadi sering telat, bahkan lewat waktu estimasi dikasih. mana gaada kompensasi apapun tokped. padahal dulu selalu tepat waktu, bahkan jauh lebih cepat estimasi. padahal costumer sangat dirugikan dengann keterlambatan, terutama rugi waktu. sangat mengecewakan, padahal udah pake tokped lama, bukannya makin bagus malah makin jelek.","Since using the courier system the package recommendations are often late, even through the estimated time given.Where's any compensation to the tokped.Even though it was always on time, even faster estimation.Even though the customer is very disadvantaged by the delay, especially the loss of time.Very disappointing, even though I have used a long tokped, instead of getting better it is even worse."
"aplikasinya makin diperbarui malah tambah error, awalnya cuma ga kasih ulasan sekarang ga transaksi, traksaksi lewat chrome pakai kupon potongan harga 2x dibatalin sistem katanya ga sesuai s&k, padahal uda lebih 12 jam transfer.","The application is increasingly renewed even more error, initially just not giving a review now no transaction, trax through chrome using a 2x discount coupon can be canceled the system not according to S&K, even though it has been more than 12 hours of transfer."
"belanja keluarga lebih 1 akun 1 rumah ,promo dapat dipakai, terkena indikasi pelanggaran padahal beda toko dituju & beda keperluan 1 rumah. jadi boleh 1 akun aja belanja, beda aplikasi orange, silakan dicoba & nilai sendiri. terlalu banyak sistem yang beratkan mending pindah ketetangga, sayang klo belanja banyak lalu kena pelanggaran, sakit rasanya & promo lewat beranda, bisa dipakai sakit juga. uda delete aja biar gak baper","Family shopping for more 1 house account, promo can be used, exposed to indications of violations even though different stores are intended & different needs of 1 house.So you can just shop, different orange applications, please try & value yourself.Too many systems that are bettering to move to the neighbor, unfortunately if you shop a lot and then get violated, it hurts and the promo through the homepage, can be used too sick.uda just delete so it's not baper"
"udah saatnya beralih si oren, paket lama banget banding sebelah . disini gak garansi datang tepat waktu . minimal kalau sebelah gak tepat waktu jaminan voucher diskon . kurir rekomendasi gak jelas . lama lama kayak bl nih tokped . belanja nominal besar diskon tiba tiba cancel sama sistem . kan gak jelas .","It's time to switch the Oren, the package is very old.Here the warranty comes on time.at least if next door is not on time guaranteed a discount voucher.The recommendation courier is unclear.It's been a long time like BL, Tokped.Large nominal spending discount suddenly cancel the same system.It's not clear."
"makin kesini makin ancur,, lebih suka dulu, pilih kurir & bayar ditempat (cod) 1-2hari udah smpe,, sekarang semenjak adanya kurir rekomendasi makin parah, dpt ekspedisi lemot 4-7 hari baru smpe, udah gtuh sekarang tersedia cod klo pake gratis ontidakir/kurir rekomendasi,, parahh parahhh... dulu selalu belanja toped, skarang lebih nyaman si oren, voucher gratis ontidakir banyak, voucher diskon banyak, pilih kurir, cod pakai ekspedisi profesional...","The more here the more threatened, I prefer it first, choose couriers & pay in place (cod) 1-2 days already, now since there is a recommendation courier getting worse, can be a slow expedition of 4-7 days just, it's already available now COD if you usefree ontidakir/courier recommendation ,, Parahh Parahhh ... used to always shop topd, now more comfortable the oren, free ontidakir vouchers, vouchers discount a lot, choose couriers, cod use professional expeditions ..."
pelayanan sangat buruk. klaim asuransi barang hilang setujui. saldo refund kunjung masuk. 2 bulan menunggu terus. tokopedia mempersulit user. sangat mengecewakan. di recommendasikan transaksi di tokopedia ! memuakkan !,very bad service.Insurance Claims for lost goods approved.Refund balances come in.2 months continue to wait.Tokopedia complicates users.very disappointing.Recommended transactions on Tokopedia!Sickening!
parah sumpah. beli barang bayar tunai. barang g katanya bakal diganti asuransi. pihak penjual uang kembali pihak pembali audah sebulan lebih g kembali. malah transaksi katanya selesai. kacaunya aplikasi gak punya fitur melaporkan masalah lagi. sumpah gak pernah sekecewa ini belanja e-commerce aplikasi ini. berharap barang bagus sini kalau ujungnya ini. ud cukup lah. uninstall aj ni aplikasi,"bad oath.Buy cash payment items.Items G said to be replaced by insurance.The money seller is back the gathering, more than a month, g returns.In fact, the transaction said it was completed.The shape of the application does not have features to report the problem again.I swear never as disappointed as this application e-commerce shopping.Hope the goods are good here if this end.UD is enough.uninstall this application"
"mengecewa kan layanan komplain bisa ngasih keputusan cepat, sangat lelet. makin sini makin ancur bukan perbaikan malah lebih parah gratis ontidakir kurir rekomendasi lelet masih jadikan rekomendasi.. kalau kaya gini ngapain pake lagi.","Disappointing complaint services can give fast decisions, very slow.The more here the more it is not improved, it is even worse, free of free courier recommendations, still make recommendations ... what are you doing like this."
"termasuk pelanggan setia tokopedia lebih 3 tahun selalu berlangganan plus akhir"" selalu dibuat kecewa pihak tokopedia sudah lebih 3 pesanan saya menggunakan kurir rekomendasi selalu lewat estimasi tiba bahkan 2 mingguan.. saya berkali kali komplain respon pihak tokopedia seller sangat membantu, pihak dirugikan tidak satu kompensasi seperti aplikasi shopee ada keterlambatan pengiriman","Including loyal customers to Tokopedia for more than 3 years always subscribe plus end ""always made disappointed by Tokopedia, I have more than 3 orders using a recommendation courier always through the estimated arrival even 2 weeks.Like the Shopee application there is a late delivery"
"tokopedia cukup buruk melakukan proses pembayaran, mau bayar selalu kendalan kendalanya cukup gak masuk akal. mau bayar pakai gopay bisa, debit gak bisa, beneran tokopedia cukup ketinggalan jaman susah pembayaran apapun.","Tokopedia is bad enough to do the payment process, want to pay always the constraints are quite unreasonable.Want to pay for using gopay, the debit can't, really Tokopedia is quite outdated any difficulty payment."
"udah beberapa kali aku beli toped gratis ontidakir nya , tiba"" jadi ngak bisa gratis ontidakir nya padahal menurut syarat ketentuan nya , komplain tetep ada solusi nya malah tetap bisa , payah banget sih","I've bought a few times for free topped, arriving, ""so it can't be free on the condition, even though according to the conditions, the complaint still has a solution, it still can, it's really bad"
